2020-04-11 11:29:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	21262.0, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:29:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:30:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:31:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:31:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	21262.0, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:31:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	35359.5, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:31:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:31:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:31:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:31:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	21262.0, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:31:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	21262.0, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:32:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24442.7, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24442.9, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:32:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24442.8, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24442.8, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	21262.0, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24436.6, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:33:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24436.6, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:34:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01654, 	24436.6, 	0.665054%, 	0.250000%, 	0.415054%
2020-04-11 11:34:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	21262.0, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	24442.7, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	24442.7, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	24442.7, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	24442.7, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	32915.2, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:34:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.0165, 	3183.3, 	0.909091%, 	0.250000%, 	0.659091%
2020-04-11 11:35:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.0165, 	3183.3, 	0.909091%, 	0.250000%, 	0.659091%
2020-04-11 11:35:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.0165, 	24454.3, 	0.909091%, 	0.250000%, 	0.659091%
2020-04-11 11:35:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01651, 	2.02, 	0.01649, 	21262.0, 	0.121286%, 	0.250000%, 	-0.128714%
2020-04-11 11:35:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01651, 	2.02, 	0.01649, 	23431.9, 	0.121286%, 	0.250000%, 	-0.128714%
