2020-04-07 23:50:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:51:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:51:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:52:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:52:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:53:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:53:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:54:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:54:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:55:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:55:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:56:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:56:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:57:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:57:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:58:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:58:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:59:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-07 23:59:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 00:00:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 00:00:44, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 00:01:14, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.7e-07, 	50000.0, 	5.882353%, 	0.400000%, 	5.482353%
