2020-04-10 09:06:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	562.11, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:06:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	562.11, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:07:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:07:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:07:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:07:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:08:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:08:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:08:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:08:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:09:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:09:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:09:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:09:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	32.22, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:10:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	557.11, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:10:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.69, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:10:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.69, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:10:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	4.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:11:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	4.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:11:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	4.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:11:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	4.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:11:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	4.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:12:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.69, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:12:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.69, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:12:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:12:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:13:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:13:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:13:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:13:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	52.63, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:14:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:14:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:14:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:14:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:15:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:15:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:15:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:15:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:16:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.81, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:16:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	1761.98, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:16:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	1761.98, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:16:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	82.79, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:17:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.88e-05, 	83.03, 	0.753807%, 	0.360000%, 	0.393807%
2020-04-10 09:17:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:17:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:17:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	82.91, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:18:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	82.91, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:18:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:18:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:18:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	82.9, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:19:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
