2020-04-09 13:05:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:06:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:06:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001721, 	1070.33, 	0.691458%, 	0.190000%, 	0.501458%
2020-04-09 13:06:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001721, 	1070.33, 	0.691458%, 	0.190000%, 	0.501458%
2020-04-09 13:06:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017199, 	0.62923889, 	0.0001719, 	8.85, 	0.052356%, 	0.190000%, 	-0.137644%
2020-04-09 18:28:54, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001677, 	89.06, 	0.345856%, 	0.190000%, 	0.155856%
2020-04-09 18:29:09, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001677, 	50.38, 	0.345856%, 	0.190000%, 	0.155856%
2020-04-09 18:29:24, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001677, 	47.64, 	0.345856%, 	0.190000%, 	0.155856%
2020-04-09 18:29:39, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001677, 	4.55, 	0.345856%, 	0.190000%, 	0.155856%
2020-04-09 18:29:54, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001677, 	4.55, 	0.345856%, 	0.190000%, 	0.155856%
2020-04-09 18:30:09, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001678, 	70.29, 	0.286055%, 	0.190000%, 	0.096055%
2020-04-09 18:30:24, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001678, 	70.29, 	0.286055%, 	0.190000%, 	0.096055%
2020-04-09 18:30:39, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001678, 	70.29, 	0.286055%, 	0.190000%, 	0.096055%
2020-04-09 18:30:54, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001678, 	70.29, 	0.286055%, 	0.190000%, 	0.096055%
2020-04-09 18:31:09, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.0001678, 	70.29, 	0.286055%, 	0.190000%, 	0.096055%
