2020-04-09 18:21:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:21:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:22:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:22:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:22:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:22:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:23:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:23:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:23:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:23:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:24:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:24:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:24:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:24:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:25:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:25:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:25:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:25:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:26:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:26:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:26:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:26:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:27:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:27:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:27:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:27:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:28:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:28:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:28:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:28:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:29:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
