2020-04-10 16:46:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.191e-05, 	500.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:46:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	596.09189242, 	2.191e-05, 	500.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:47:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	596.09189242, 	2.191e-05, 	500.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:47:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	596.09189242, 	2.191e-05, 	472.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:47:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	354.06351242, 	2.191e-05, 	472.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:47:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	183.06351242, 	2.191e-05, 	472.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:48:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	183.06351242, 	2.191e-05, 	472.0, 	1.369238%, 	0.340000%, 	1.029238%
2020-04-10 16:48:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.191e-05, 	472.0, 	0.410771%, 	0.340000%, 	0.070771%
2020-04-10 16:48:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.191e-05, 	472.0, 	0.410771%, 	0.340000%, 	0.070771%
2020-04-10 16:48:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.191e-05, 	472.0, 	0.410771%, 	0.340000%, 	0.070771%
2020-04-10 16:49:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.191e-05, 	442.5, 	0.410771%, 	0.340000%, 	0.070771%
2020-04-10 16:49:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.191e-05, 	233.49365, 	0.410771%, 	0.340000%, 	0.070771%
2020-04-10 16:49:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.2e-05, 	10.2849152, 	2.195e-05, 	9063.63313801, 	0.227790%, 	0.340000%, 	-0.112210%
2020-04-11 11:08:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:09:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:09:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:09:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:09:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:10:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:10:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:10:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:10:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:11:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:11:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:11:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:11:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:12:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:12:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:12:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
