2020-04-09 00:06:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:06:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:07:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:07:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:07:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:07:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:08:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	544181.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:08:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:08:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:08:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	175359.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:09:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.76e-05, 	1265203.0, 	0.456621%, 	0.190000%, 	0.266621%
