2020-04-07 20:34:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.09e-06, 	1580.78556245, 	80.420712%, 	0.400000%, 	80.020712%
2020-04-07 20:34:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:35:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:35:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:36:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:36:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:37:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:37:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:38:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.08e-06, 	39096.35401266, 	81.006494%, 	0.400000%, 	80.606494%
2020-04-07 20:38:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.06e-06, 	39226.24223197, 	82.189542%, 	0.400000%, 	81.789542%
2020-04-07 20:39:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.06e-06, 	39226.24223197, 	82.189542%, 	0.400000%, 	81.789542%
2020-04-07 20:39:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.06e-06, 	39226.24223197, 	82.189542%, 	0.400000%, 	81.789542%
2020-04-07 20:58:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	3041.20186731, 	2.86e-06, 	28128.37989247, 	94.930070%, 	0.400000%, 	94.530070%
2020-04-07 20:59:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	1274.6202478, 	2.89e-06, 	18516.76758548, 	92.906574%, 	0.400000%, 	92.506574%
2020-04-07 20:59:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.577e-06, 	1541.20186731, 	2.86e-06, 	28128.37989247, 	95.000000%, 	0.400000%, 	94.600000%
2020-04-07 21:00:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.583e-06, 	1541.20186731, 	2.86e-06, 	28128.37989247, 	95.209790%, 	0.400000%, 	94.809790%
2020-04-07 21:00:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.582e-06, 	1154.01015919, 	2.86e-06, 	28128.37989247, 	95.174825%, 	0.400000%, 	94.774825%
2020-04-07 21:01:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.584e-06, 	1154.01015919, 	2.86e-06, 	28128.37989247, 	95.244755%, 	0.400000%, 	94.844755%
2020-04-07 21:01:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.58e-06, 	1154.01015919, 	2.82e-06, 	28128.37989247, 	97.872340%, 	0.400000%, 	97.472340%
2020-04-07 21:02:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.584e-06, 	1154.01015919, 	2.82e-06, 	28128.37989247, 	98.014184%, 	0.400000%, 	97.614184%
