2020-04-07 22:15:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962675.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:15:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962675.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:16:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962675.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:16:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917150.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:17:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917150.0, 	6.7e-07, 	41010.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:17:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917150.0, 	6.7e-07, 	35010.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:18:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917150.0, 	6.7e-07, 	35010.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:18:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	946104.0, 	6.8e-07, 	1520274.0, 	95.588235%, 	0.250000%, 	95.338235%
2020-04-07 22:19:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	946104.0, 	6.8e-07, 	1520274.0, 	95.588235%, 	0.250000%, 	95.338235%
2020-04-07 22:19:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917153.0, 	6.7e-07, 	30315.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:20:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	917457.0, 	6.7e-07, 	30614.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:20:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	30614.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:21:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:21:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:22:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:22:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:23:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	985310.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:23:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	990418.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:24:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	990418.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:24:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	990418.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:25:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	990418.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:25:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059460.0, 	6.7e-07, 	3430.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:26:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1310052.0, 	6.8e-07, 	1520274.0, 	95.588235%, 	0.250000%, 	95.338235%
2020-04-07 22:26:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:27:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:27:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:28:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:28:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
