2020-04-07 21:41:48, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:42:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:42:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:43:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:43:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:44:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:44:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:45:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	45508.52825829, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:45:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	43354.6326575, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:46:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	43354.6326575, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:46:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	41247.86807089, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:47:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	42152.98170725, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:47:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	42152.98170725, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:48:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	42152.98170725, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:48:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	42152.98170725, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:49:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	42152.98170725, 	1.31e-06, 	0.07362062, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:49:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	44358.98170725, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:50:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:50:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:51:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	67300.0, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:51:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:52:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:52:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
