2020-04-09 23:23:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	613.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:24:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	613.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:24:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	613.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:24:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	626.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:24:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	626.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:25:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	10.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:25:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:25:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:25:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:26:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:26:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:26:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:26:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:27:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:27:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:27:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:27:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:28:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	636.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:28:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	636.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:28:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:28:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	10.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:29:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	649.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:29:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	657.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:29:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	18.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:29:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	18.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:30:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	18.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:30:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	26.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:30:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	17.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:30:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	17.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:31:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	17.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:31:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:31:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:31:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:32:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	638.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:32:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	638.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:32:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	638.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:32:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:33:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:33:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	644.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:33:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	644.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:33:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	644.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:34:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	19.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:34:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:34:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:34:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:35:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:35:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	647.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:35:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	647.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:35:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:36:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:36:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:36:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:36:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	9.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:37:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.907e-05, 	638.0, 	0.489097%, 	0.300000%, 	0.189097%
2020-04-09 23:37:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:37:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	639.0, 	0.468623%, 	0.300000%, 	0.168623%
