2020-04-11 11:42:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:43:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:43:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:43:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:43:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:44:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:44:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:44:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:44:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:45:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:45:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:45:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:45:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:46:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:46:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:46:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:46:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:47:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:47:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:47:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:47:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:48:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:48:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
