2020-04-09 14:38:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	963.506, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:38:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	963.506, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:38:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:39:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:39:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:39:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:39:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:40:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:40:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	1179.436, 	1.070750%, 	0.460000%, 	0.610750%
2020-04-09 14:40:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:40:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:41:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:41:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:41:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
