2020-04-10 19:03:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:04:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:04:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:04:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:04:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:05:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:05:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:05:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:05:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:06:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:06:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:06:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:06:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:07:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:07:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:07:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:07:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:08:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:08:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:08:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
