2020-04-08 17:41:09, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394, 	126.41464, 	0.639364%, 	0.410000%, 	0.229364%
2020-04-08 17:41:24, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394, 	324.77481, 	0.639364%, 	0.410000%, 	0.229364%
2020-04-08 17:41:39, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394, 	444.93513, 	0.639364%, 	0.410000%, 	0.229364%
2020-04-08 17:41:54, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	141.56013, 	0.698703%, 	0.410000%, 	0.288703%
2020-04-08 17:42:09, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	141.62323, 	0.758112%, 	0.410000%, 	0.348112%
2020-04-08 17:42:24, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391, 	266.32232, 	0.728399%, 	0.410000%, 	0.318399%
2020-04-08 17:42:39, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	15.0, 	0.758112%, 	0.410000%, 	0.348112%
2020-04-08 17:42:54, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391, 	85.11117, 	0.728399%, 	0.410000%, 	0.318399%
2020-04-08 17:43:09, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	202.26051, 	0.698703%, 	0.410000%, 	0.288703%
2020-04-08 17:43:24, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	119.74442, 	0.698703%, 	0.410000%, 	0.288703%
2020-04-08 17:43:39, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	15.0, 	0.698703%, 	0.410000%, 	0.288703%
2020-04-08 17:43:54, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	141.53699, 	0.698703%, 	0.410000%, 	0.288703%
2020-04-08 17:44:09, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03402, 	227.57633, 	0.402704%, 	0.410000%, 	-0.007296%
2020-04-08 17:53:51, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03399, 	15.0, 	0.491321%, 	0.410000%, 	0.081321%
2020-04-08 17:54:06, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03399, 	15.0, 	0.491321%, 	0.410000%, 	0.081321%
2020-04-08 17:54:21, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.034, 	15.0, 	0.461765%, 	0.410000%, 	0.051765%
2020-04-08 17:54:36, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.034, 	15.0, 	0.461765%, 	0.410000%, 	0.051765%
2020-04-08 17:54:51, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.034, 	15.0, 	0.461765%, 	0.410000%, 	0.051765%
2020-04-08 17:55:06, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.034, 	15.0, 	0.461765%, 	0.410000%, 	0.051765%
2020-04-08 17:55:21, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.034, 	15.0, 	0.461765%, 	0.410000%, 	0.051765%
2020-04-08 17:55:36, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03403, 	103.06346, 	0.373200%, 	0.410000%, 	-0.036800%
2020-04-08 18:42:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034171, 	59.071, 	0.03402, 	15.0, 	0.443857%, 	0.410000%, 	0.033857%
2020-04-08 18:43:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034171, 	59.071, 	0.03402, 	399.79994, 	0.443857%, 	0.410000%, 	0.033857%
2020-04-08 18:43:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034171, 	59.071, 	0.03401, 	652.33754, 	0.473390%, 	0.410000%, 	0.063390%
2020-04-08 18:43:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034171, 	59.071, 	0.03401, 	994.58156, 	0.473390%, 	0.410000%, 	0.063390%
2020-04-08 18:43:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034173, 	59.067, 	0.03399, 	400.18162, 	0.538394%, 	0.410000%, 	0.128394%
2020-04-08 18:44:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034173, 	59.067, 	0.03399, 	652.83734, 	0.538394%, 	0.410000%, 	0.128394%
2020-04-08 18:44:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034173, 	59.067, 	0.03398, 	267.70529, 	0.567981%, 	0.410000%, 	0.157981%
2020-04-08 18:44:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034173, 	59.067, 	0.03398, 	526.63532, 	0.567981%, 	0.410000%, 	0.157981%
2020-04-08 18:44:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034175, 	59.064, 	0.03398, 	141.34805, 	0.573867%, 	0.410000%, 	0.163867%
2020-04-08 18:45:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034175, 	59.064, 	0.03398, 	141.34805, 	0.573867%, 	0.410000%, 	0.163867%
2020-04-08 18:45:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034175, 	59.064, 	0.03396, 	15.0, 	0.633098%, 	0.410000%, 	0.223098%
2020-04-08 18:45:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034175, 	59.064, 	0.03397, 	400.22572, 	0.603474%, 	0.410000%, 	0.193474%
2020-04-08 18:45:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034177, 	59.06, 	0.03397, 	141.35763, 	0.609361%, 	0.410000%, 	0.199361%
2020-04-08 18:46:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034179, 	59.057, 	0.03397, 	141.35763, 	0.615249%, 	0.410000%, 	0.205249%
2020-04-08 18:46:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03399, 	267.54205, 	0.561930%, 	0.410000%, 	0.151930%
2020-04-08 18:46:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03399, 	526.51407, 	0.561930%, 	0.410000%, 	0.151930%
2020-04-08 18:46:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398, 	652.84561, 	0.591524%, 	0.410000%, 	0.181524%
