2020-04-10 03:11:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	482.1381, 	3.916e-05, 	306.357, 	1.174668%, 	0.400000%, 	0.774668%
2020-04-10 03:11:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	482.1381, 	3.917e-05, 	700.0, 	1.148838%, 	0.400000%, 	0.748838%
2020-04-10 03:12:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	482.1381, 	3.916e-05, 	306.357, 	1.174668%, 	0.400000%, 	0.774668%
2020-04-10 03:12:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	482.1381, 	3.918e-05, 	1837.012, 	1.123022%, 	0.400000%, 	0.723022%
2020-04-10 03:12:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.866e-05, 	310.39834454, 	3.918e-05, 	2144.291, 	-1.327208%, 	0.400000%, 	-1.727208%
2020-04-10 03:20:22, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	3186.66264324, 	3.918e-05, 	811.977, 	1.123022%, 	0.400000%, 	0.723022%
2020-04-10 03:20:37, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	3186.66264324, 	3.918e-05, 	811.977, 	1.123022%, 	0.400000%, 	0.723022%
2020-04-10 03:20:52, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.963e-05, 	754.05303506, 	3.918e-05, 	811.977, 	1.148545%, 	0.400000%, 	0.748545%
2020-04-10 03:21:07, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.963e-05, 	754.05303506, 	3.918e-05, 	811.977, 	1.148545%, 	0.400000%, 	0.748545%
2020-04-10 03:21:22, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.963e-05, 	754.05303506, 	3.918e-05, 	811.977, 	1.148545%, 	0.400000%, 	0.748545%
2020-04-10 03:21:37, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.965e-05, 	747.10496824, 	3.918e-05, 	811.977, 	1.199592%, 	0.400000%, 	0.799592%
2020-04-10 03:21:52, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.966e-05, 	747.29106987, 	3.918e-05, 	811.977, 	1.225115%, 	0.400000%, 	0.825115%
2020-04-10 03:22:07, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.966e-05, 	747.29106987, 	3.918e-05, 	811.977, 	1.225115%, 	0.400000%, 	0.825115%
2020-04-10 03:22:22, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.865e-05, 	129.36610608, 	3.918e-05, 	811.977, 	-1.352731%, 	0.400000%, 	-1.752731%
