2020-04-11 18:08:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:09:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:10:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	296.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 18:11:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	900.3987, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	624.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 18:11:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	936.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:11:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.3989, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2206.3989, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2206.3989, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2206.3989, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2206.3989, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2206.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:12:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
