2020-04-11 15:48:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.739e-05, 	186.0, 	2.357677%, 	0.250000%, 	2.107677%
2020-04-11 15:48:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.739e-05, 	186.0, 	2.357677%, 	0.250000%, 	2.107677%
2020-04-11 15:48:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.741e-05, 	5122.0, 	2.240092%, 	0.250000%, 	1.990092%
2020-04-11 15:49:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.745e-05, 	1727.0, 	2.005731%, 	0.250000%, 	1.755731%
2020-04-11 15:49:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.742e-05, 	5122.0, 	2.181401%, 	0.250000%, 	1.931401%
2020-04-11 15:49:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.741e-05, 	749.0, 	2.240092%, 	0.250000%, 	1.990092%
2020-04-11 15:49:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.744e-05, 	149.0, 	2.064220%, 	0.250000%, 	1.814220%
2020-04-11 15:50:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.745e-05, 	1166.0, 	2.005731%, 	0.250000%, 	1.755731%
2020-04-11 15:50:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.745e-05, 	1315.0, 	2.005731%, 	0.250000%, 	1.755731%
2020-04-11 15:50:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.745e-05, 	823.0, 	2.005731%, 	0.250000%, 	1.755731%
2020-04-11 15:50:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.747e-05, 	2910.0, 	1.888952%, 	0.250000%, 	1.638952%
2020-04-11 15:51:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.746e-05, 	1090.0, 	1.947308%, 	0.250000%, 	1.697308%
2020-04-11 15:51:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.75e-05, 	107.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 15:51:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.75e-05, 	107.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 15:51:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.75e-05, 	86.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 15:52:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.75e-05, 	86.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 15:52:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.762e-05, 	5107.0, 	1.021566%, 	0.250000%, 	0.771566%
2020-04-11 15:52:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.763e-05, 	786.0, 	0.964265%, 	0.250000%, 	0.714265%
2020-04-11 15:52:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.759e-05, 	5099.0, 	1.193860%, 	0.250000%, 	0.943860%
2020-04-11 15:53:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.76e-05, 	482.0, 	1.136364%, 	0.250000%, 	0.886364%
2020-04-11 15:53:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.755e-05, 	14786.0, 	1.424501%, 	0.250000%, 	1.174501%
2020-04-11 15:53:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.747e-05, 	5099.0, 	1.888952%, 	0.250000%, 	1.638952%
2020-04-11 15:53:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.742e-05, 	564.0, 	2.181401%, 	0.250000%, 	1.931401%
2020-04-11 15:54:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.729e-05, 	749.0, 	2.949682%, 	0.250000%, 	2.699682%
2020-04-11 15:54:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	7.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:54:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.732e-05, 	749.0, 	2.771363%, 	0.250000%, 	2.521363%
