2020-04-10 17:17:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17296, 	2000.0, 	0.1683, 	2000.0, 	2.768865%, 	0.400000%, 	2.368865%
2020-04-10 17:17:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17287, 	290.74974797, 	0.1681, 	2000.0, 	2.837597%, 	0.400000%, 	2.437597%
2020-04-10 17:17:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17287, 	290.74974797, 	0.1681, 	2000.0, 	2.837597%, 	0.400000%, 	2.437597%
2020-04-10 17:17:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17287, 	290.74974797, 	0.1681, 	2000.0, 	2.837597%, 	0.400000%, 	2.437597%
2020-04-10 17:18:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17287, 	290.74974797, 	0.1681, 	2000.0, 	2.837597%, 	0.400000%, 	2.437597%
2020-04-10 17:18:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17215, 	291.03567665, 	0.1673, 	2000.0, 	2.898984%, 	0.400000%, 	2.498984%
2020-04-10 17:18:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17179, 	291.11520111, 	0.1672, 	2000.0, 	2.745215%, 	0.400000%, 	2.345215%
2020-04-10 17:18:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17174, 	291.17487298, 	0.1671, 	2000.0, 	2.776780%, 	0.400000%, 	2.376780%
2020-04-10 17:19:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17163, 	291.21466782, 	0.167, 	2000.0, 	2.772455%, 	0.400000%, 	2.372455%
2020-04-10 17:19:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17179, 	291.17885198, 	0.1672, 	4000.0, 	2.745215%, 	0.400000%, 	2.345215%
2020-04-10 17:19:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17179, 	291.17885198, 	0.1672, 	4000.0, 	2.745215%, 	0.400000%, 	2.345215%
2020-04-10 17:19:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17174, 	291.17487298, 	0.167, 	2000.0, 	2.838323%, 	0.400000%, 	2.438323%
2020-04-10 17:20:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17102, 	291.25845471, 	0.1665, 	2000.0, 	2.714715%, 	0.400000%, 	2.314715%
2020-04-10 17:20:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16936, 	292.09691876, 	0.1648, 	500.0, 	2.766990%, 	0.400000%, 	2.366990%
2020-04-10 17:20:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16784, 	292.75910625, 	0.1623, 	2000.0, 	3.413432%, 	0.400000%, 	3.013432%
2020-04-10 17:20:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1625, 	3999.96, 	0.1624, 	2000.0, 	0.061576%, 	0.400000%, 	-0.338424%
2020-04-10 17:36:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17738, 	2000.0, 	0.1718, 	156.6531, 	3.247963%, 	0.400000%, 	2.847963%
2020-04-10 17:37:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17738, 	2000.0, 	0.1718, 	156.6531, 	3.247963%, 	0.400000%, 	2.847963%
2020-04-10 17:37:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17743, 	2000.0, 	0.1718, 	156.6531, 	3.277066%, 	0.400000%, 	2.877066%
2020-04-10 17:37:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17753, 	2000.0, 	0.1718, 	156.6531, 	3.335274%, 	0.400000%, 	2.935274%
2020-04-10 17:37:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17769, 	2000.0, 	0.1723, 	69.9315, 	3.128265%, 	0.400000%, 	2.728265%
2020-04-10 17:38:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17779, 	2000.0, 	0.1723, 	69.9315, 	3.186303%, 	0.400000%, 	2.786303%
2020-04-10 17:38:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17779, 	2000.0, 	0.1723, 	69.9315, 	3.186303%, 	0.400000%, 	2.786303%
2020-04-10 17:38:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17779, 	2000.0, 	0.1723, 	69.9315, 	3.186303%, 	0.400000%, 	2.786303%
2020-04-10 17:38:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17425, 	290.20328544, 	0.1735, 	596.5738, 	0.432277%, 	0.400000%, 	0.032277%
2020-04-10 17:39:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17876, 	2000.0, 	0.174, 	5156.6531, 	2.735632%, 	0.400000%, 	2.335632%
2020-04-10 17:39:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17897, 	2000.0, 	0.174, 	5156.6531, 	2.856322%, 	0.400000%, 	2.456322%
