2020-04-10 16:13:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21496977.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:13:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21561426.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:14:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21641394.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:14:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21549056.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:14:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21684416.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:14:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21693096.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:15:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21696609.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:15:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21514055.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:15:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21549815.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:15:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21567644.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:16:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21692816.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:16:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21518581.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:16:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21690153.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:16:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21615444.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:17:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21661489.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:17:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21629514.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:17:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21661587.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:17:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21669365.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:18:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21078253.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:18:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21163161.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:18:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20995022.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:18:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21162400.0, 	2.127660%, 	0.300000%, 	1.827660%
