2020-04-09 07:03:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:03:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:03:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:03:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:04:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:04:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:04:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:04:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:05:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:05:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:05:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:05:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:06:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:06:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:06:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2826, 	1.225, 	0.28, 	5.41799572, 	0.928571%, 	0.400000%, 	0.528571%
2020-04-09 07:06:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2826, 	1.225, 	0.28, 	5.41799572, 	0.928571%, 	0.400000%, 	0.528571%
2020-04-09 07:07:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	1.129, 	0.28, 	5.41799572, 	1.000000%, 	0.400000%, 	0.600000%
2020-04-09 07:07:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	1.489, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:07:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	1.208, 	0.28, 	5.41799572, 	1.000000%, 	0.400000%, 	0.600000%
2020-04-09 07:07:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	1.149, 	0.28, 	5.41799572, 	1.000000%, 	0.400000%, 	0.600000%
2020-04-09 07:08:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	1.149, 	0.28, 	5.41799572, 	1.000000%, 	0.400000%, 	0.600000%
2020-04-09 07:08:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	1.149, 	0.2828, 	20.0, 	0.000000%, 	0.400000%, 	-0.400000%
