2020-04-09 21:46:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:46:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:46:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:46:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:47:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:47:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:47:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:47:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:48:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:48:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:48:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:48:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:49:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:49:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:49:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:49:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:50:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:50:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
