2020-04-08 19:35:27, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	42.65, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:35:42, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	42.65, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:35:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	42.65, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:36:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	914.36, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:36:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	914.36, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:36:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	914.36, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:36:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	914.36, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:37:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	914.36, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:37:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	905.78, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:37:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.41, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:37:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.41, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:38:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.41, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:38:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.41, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:38:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.41, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:38:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	870.04, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:39:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.45, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:39:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.45, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:39:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.45, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:39:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	915.45, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:40:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	41.96, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:40:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	912.18, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:40:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:40:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:41:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:41:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:41:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:41:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:42:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:42:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:42:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:42:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:43:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:43:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:43:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:43:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:44:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:44:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:44:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	127.05, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:44:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	126.83, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:45:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	126.83, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:45:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	126.83, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:45:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	30.83, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:45:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	76.04, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:46:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	76.04, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:46:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:46:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:46:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:47:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:47:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:47:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	26.9, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:47:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	749.35, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:48:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	749.35, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:48:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	749.35, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:48:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	749.35, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:48:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	1736.55, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:49:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	1736.55, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:49:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	1736.55, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:49:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	1736.55, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:49:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001432, 	1736.55, 	0.558659%, 	0.250000%, 	0.308659%
2020-04-08 19:50:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	181.47, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:50:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	181.47, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:50:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:50:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:51:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:51:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:51:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:51:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:52:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:52:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:52:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
