2020-04-08 20:36:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:36:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
