2020-04-10 15:47:03, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.494e-05, 	588.00470403, 	2.544e-05, 	5000.0, 	-1.965409%, 	0.400000%, 	-2.365409%
2020-04-10 17:09:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.517e-05, 	2000.0, 	2.701629%, 	0.400000%, 	2.301629%
2020-04-10 17:09:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.517e-05, 	2000.0, 	2.701629%, 	0.400000%, 	2.301629%
2020-04-10 17:10:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.519e-05, 	2000.0, 	2.620087%, 	0.400000%, 	2.220087%
2020-04-10 17:10:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.516e-05, 	2000.0, 	2.742448%, 	0.400000%, 	2.342448%
2020-04-10 17:10:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.522e-05, 	2000.0, 	2.498017%, 	0.400000%, 	2.098017%
2020-04-10 17:10:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.525e-05, 	2000.0, 	2.376238%, 	0.400000%, 	1.976238%
2020-04-10 17:11:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.585e-05, 	143.51046947, 	2.523e-05, 	2000.0, 	2.457392%, 	0.400000%, 	2.057392%
2020-04-10 17:11:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.509e-05, 	2000.0, 	2.550817%, 	0.400000%, 	2.150817%
2020-04-10 17:11:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.509e-05, 	2000.0, 	2.550817%, 	0.400000%, 	2.150817%
2020-04-10 17:11:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.508e-05, 	2000.0, 	2.591707%, 	0.400000%, 	2.191707%
2020-04-10 17:12:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.512e-05, 	2000.0, 	2.428344%, 	0.400000%, 	2.028344%
2020-04-10 17:12:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.575e-05, 	2000.0, 	2.515e-05, 	500.0, 	2.385686%, 	0.400000%, 	1.985686%
2020-04-10 17:12:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.575e-05, 	2000.0, 	2.515e-05, 	2500.0, 	2.385686%, 	0.400000%, 	1.985686%
2020-04-10 17:12:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.51e-05, 	2000.0, 	2.509960%, 	0.400000%, 	2.109960%
2020-04-10 17:13:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.511e-05, 	2000.0, 	2.469136%, 	0.400000%, 	2.069136%
2020-04-10 17:13:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.512e-05, 	2000.0, 	2.428344%, 	0.400000%, 	2.028344%
2020-04-10 17:13:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2519.25144424, 	2.509e-05, 	2000.0, 	2.550817%, 	0.400000%, 	2.150817%
2020-04-10 17:13:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	1486.91844424, 	2.498e-05, 	2000.0, 	3.002402%, 	0.400000%, 	2.602402%
2020-04-10 17:14:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	830.41944424, 	2.479e-05, 	2000.0, 	3.791852%, 	0.400000%, 	3.391852%
2020-04-10 17:14:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.481e-05, 	2000.0, 	3.708182%, 	0.400000%, 	3.308182%
2020-04-10 17:14:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.481e-05, 	2000.0, 	3.708182%, 	0.400000%, 	3.308182%
2020-04-10 17:14:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.487e-05, 	2000.0, 	3.457982%, 	0.400000%, 	3.057982%
2020-04-10 17:15:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.49e-05, 	2500.0, 	3.333333%, 	0.400000%, 	2.933333%
2020-04-10 17:15:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.485e-05, 	2000.0, 	3.541247%, 	0.400000%, 	3.141247%
2020-04-10 17:15:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.478e-05, 	2000.0, 	3.833737%, 	0.400000%, 	3.433737%
