2020-04-11 17:01:16, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:01:31, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:02:43, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:02:58, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:03:13, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:04:36, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:04:51, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:05:06, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:06:26, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:06:41, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:06:57, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
