2020-04-07 21:47:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:47:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:48:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:48:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:49:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:49:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:50:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:50:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:51:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:51:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:52:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:52:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:53:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:53:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:54:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:54:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:55:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:55:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:56:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:56:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:57:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	12514.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:57:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:58:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:58:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:59:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:59:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:00:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:00:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:01:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	17141.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:01:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:02:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:02:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:03:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:03:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:04:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:04:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:05:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:05:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:06:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:06:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:07:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:07:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:08:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:08:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:09:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:09:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:10:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:10:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:11:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:11:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:12:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:12:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:13:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:13:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:14:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:14:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
