2020-04-11 12:23:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:24:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:25:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:26:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:27:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:28:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:29:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
