2020-04-11 16:00:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.098e-05, 	3003.304436, 	7.056e-05, 	36.6072, 	0.595238%, 	0.400000%, 	0.195238%
2020-04-11 16:00:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.098e-05, 	3003.304436, 	7.056e-05, 	36.6072, 	0.595238%, 	0.400000%, 	0.195238%
2020-04-11 16:00:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.09e-05, 	3005.51619305, 	7.056e-05, 	36.6072, 	0.481859%, 	0.400000%, 	0.081859%
2020-04-11 16:00:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.092e-05, 	3004.9630245, 	7.056e-05, 	36.6072, 	0.510204%, 	0.400000%, 	0.110204%
2020-04-11 16:01:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.094e-05, 	3004.41000885, 	7.056e-05, 	36.6072, 	0.538549%, 	0.400000%, 	0.138549%
2020-04-11 16:01:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.096e-05, 	3003.85714604, 	7.056e-05, 	36.6072, 	0.566893%, 	0.400000%, 	0.166893%
2020-04-11 16:01:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.098e-05, 	3003.304436, 	7.056e-05, 	36.6072, 	0.595238%, 	0.400000%, 	0.195238%
2020-04-11 16:01:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.099e-05, 	1917.92482667, 	7.056e-05, 	36.6072, 	0.609410%, 	0.400000%, 	0.209410%
2020-04-11 16:02:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.1e-05, 	3002.75187868, 	7.056e-05, 	36.6072, 	0.623583%, 	0.400000%, 	0.223583%
2020-04-11 16:02:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.092e-05, 	3004.9630245, 	7.056e-05, 	36.6072, 	0.510204%, 	0.400000%, 	0.110204%
2020-04-11 16:02:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.094e-05, 	3004.41000885, 	7.056e-05, 	36.6072, 	0.538549%, 	0.400000%, 	0.138549%
2020-04-11 16:02:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.096e-05, 	3003.85714604, 	7.056e-05, 	36.6072, 	0.566893%, 	0.400000%, 	0.166893%
2020-04-11 16:03:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.098e-05, 	3003.304436, 	7.056e-05, 	36.6072, 	0.595238%, 	0.400000%, 	0.195238%
2020-04-11 16:03:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.1e-05, 	3002.75187868, 	7.056e-05, 	36.6072, 	0.623583%, 	0.400000%, 	0.223583%
2020-04-11 16:03:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.092e-05, 	3004.9630245, 	7.056e-05, 	36.6072, 	0.510204%, 	0.400000%, 	0.110204%
2020-04-11 16:03:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.092e-05, 	3004.9630245, 	7.056e-05, 	25.8214, 	0.510204%, 	0.400000%, 	0.110204%
