2020-04-08 19:31:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:32:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:32:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:32:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:32:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:33:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.67e-05, 	20.7151, 	1.610487%, 	0.400000%, 	1.210487%
2020-04-08 19:33:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.67e-05, 	0.101, 	1.610487%, 	0.400000%, 	1.210487%
2020-04-08 19:33:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.67e-05, 	0.101, 	1.610487%, 	0.400000%, 	1.210487%
2020-04-08 19:33:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:34:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:34:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:34:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:34:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:35:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:35:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
