2020-04-09 00:35:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0265, 	473.613, 	1.02046, 	2889.25, 	0.591890%, 	0.410000%, 	0.181890%
2020-04-09 00:36:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0266, 	193.8806, 	1.02046, 	2889.25, 	0.601689%, 	0.410000%, 	0.191689%
2020-04-09 00:36:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	193.8617, 	1.02046, 	2889.25, 	0.611489%, 	0.410000%, 	0.201489%
2020-04-09 00:36:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0265, 	193.8994, 	1.02012, 	440.378, 	0.625417%, 	0.410000%, 	0.215417%
2020-04-09 00:36:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	193.8617, 	1.02012, 	440.378, 	0.645022%, 	0.410000%, 	0.235022%
2020-04-09 00:37:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	193.8428, 	1.02012, 	440.378, 	0.654825%, 	0.410000%, 	0.244825%
2020-04-09 00:37:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.027, 	473.3825, 	1.02012, 	440.378, 	0.674430%, 	0.410000%, 	0.264430%
2020-04-09 00:37:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0261, 	193.975, 	1.02012, 	440.378, 	0.586206%, 	0.410000%, 	0.176206%
2020-04-09 00:37:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0263, 	473.7054, 	1.02012, 	440.378, 	0.605811%, 	0.410000%, 	0.195811%
2020-04-09 00:38:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.027, 	473.3825, 	1.02012, 	440.378, 	0.674430%, 	0.410000%, 	0.264430%
2020-04-09 00:38:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0278, 	279.3599, 	1.02012, 	440.378, 	0.752853%, 	0.410000%, 	0.342853%
2020-04-09 00:38:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0282, 	193.5789, 	1.02012, 	440.378, 	0.792064%, 	0.410000%, 	0.382064%
2020-04-09 00:38:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0269, 	279.6047, 	1.02012, 	440.378, 	0.664628%, 	0.410000%, 	0.254628%
2020-04-09 00:39:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0277, 	193.673, 	1.02012, 	866.612, 	0.743050%, 	0.410000%, 	0.333050%
2020-04-09 00:39:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0286, 	279.1426, 	1.02012, 	440.378, 	0.831275%, 	0.410000%, 	0.421275%
2020-04-09 00:39:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	193.7673, 	1.02012, 	440.378, 	0.694036%, 	0.410000%, 	0.284036%
2020-04-09 00:39:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0275, 	193.7107, 	1.02012, 	440.378, 	0.723444%, 	0.410000%, 	0.313444%
2020-04-09 00:40:07, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0273, 	193.7484, 	1.02012, 	440.378, 	0.703839%, 	0.410000%, 	0.293839%
2020-04-09 00:40:22, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	473.2903, 	1.02012, 	866.612, 	0.694036%, 	0.410000%, 	0.284036%
2020-04-09 00:40:37, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0274, 	473.1982, 	1.02009, 	765.718, 	0.716603%, 	0.410000%, 	0.306603%
2020-04-09 00:40:52, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0275, 	473.1521, 	1.02013, 	2876.032, 	0.722457%, 	0.410000%, 	0.312457%
2020-04-09 00:41:07, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0277, 	473.06, 	1.02013, 	2449.797, 	0.742062%, 	0.410000%, 	0.332062%
