2020-04-08 23:18:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013957, 	14.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:18:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	14.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:18:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013956, 	63.0, 	0.673545%, 	0.450000%, 	0.223545%
2020-04-08 23:19:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:19:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:19:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:19:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:20:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:20:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:20:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:20:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:21:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
