2020-04-08 00:09:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	8.41730066, 	1.026, 	3.08618128, 	0.730994%, 	0.460000%, 	0.270994%
2020-04-08 00:09:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	8.41730066, 	1.026, 	3.08618128, 	0.730994%, 	0.460000%, 	0.270994%
2020-04-08 00:10:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	8.41730066, 	1.026, 	3.08618128, 	0.730994%, 	0.460000%, 	0.270994%
2020-04-08 00:10:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	8.41730066, 	1.026, 	3.08618128, 	0.730994%, 	0.460000%, 	0.270994%
2020-04-08 00:11:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	8.41730066, 	1.026, 	3.08618128, 	0.730994%, 	0.460000%, 	0.270994%
2020-04-08 00:11:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03276, 	8.41730066, 	1.026, 	3.08618128, 	0.658869%, 	0.460000%, 	0.198869%
2020-04-08 00:12:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03276, 	91.14919505, 	1.0263, 	300.0, 	0.629446%, 	0.460000%, 	0.169446%
2020-04-08 00:12:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03276, 	1943.17475739, 	1.0263, 	146.23828038, 	0.629446%, 	0.460000%, 	0.169446%
2020-04-08 00:13:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0328, 	1951.75914347, 	1.0263, 	300.0, 	0.633343%, 	0.460000%, 	0.173343%
2020-04-08 00:13:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03282, 	11.50776987, 	1.0263, 	300.0, 	0.635292%, 	0.460000%, 	0.175292%
2020-04-08 00:14:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0331, 	1854.48185391, 	1.0263, 	300.0, 	0.662574%, 	0.460000%, 	0.202574%
2020-04-08 00:14:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0331, 	11.50776987, 	1.0263, 	300.0, 	0.662574%, 	0.460000%, 	0.202574%
2020-04-08 00:15:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03315, 	11.50776987, 	1.0263, 	300.0, 	0.667446%, 	0.460000%, 	0.207446%
2020-04-08 00:15:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03317, 	11.50776987, 	1.0263, 	300.0, 	0.669395%, 	0.460000%, 	0.209395%
2020-04-08 00:16:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03342, 	334.06372699, 	1.0263, 	300.0, 	0.693754%, 	0.460000%, 	0.233754%
2020-04-08 00:16:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03342, 	5.43065204, 	1.0263, 	306.06735097, 	0.693754%, 	0.460000%, 	0.233754%
2020-04-08 00:17:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03348, 	1969.43243815, 	1.0263, 	306.06735097, 	0.699601%, 	0.460000%, 	0.239601%
2020-04-08 00:17:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0335, 	11.50639743, 	1.0273, 	20.73340711, 	0.603524%, 	0.460000%, 	0.143524%
2020-04-08 00:18:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.04057, 	180.57306203, 	1.0278, 	933.18, 	1.242460%, 	0.460000%, 	0.782460%
2020-04-08 00:18:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.04057, 	20.13567678, 	1.0269, 	12.12534132, 	1.331191%, 	0.460000%, 	0.871191%
2020-04-08 00:19:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.04246, 	220.36869497, 	1.0278, 	933.18, 	1.426348%, 	0.460000%, 	0.966348%
2020-04-08 00:19:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03426, 	20.67989991, 	1.0277, 	300.0, 	0.638319%, 	0.460000%, 	0.178319%
2020-04-08 00:20:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03427, 	20.67989991, 	1.0277, 	300.0, 	0.639292%, 	0.460000%, 	0.179292%
2020-04-08 00:20:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03464, 	20.67989991, 	1.0277, 	300.0, 	0.675294%, 	0.460000%, 	0.215294%
2020-04-08 00:21:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03513, 	20.67989991, 	1.0277, 	300.0, 	0.722974%, 	0.460000%, 	0.262974%
2020-04-08 00:21:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03513, 	20.67989991, 	1.0277, 	300.0, 	0.722974%, 	0.460000%, 	0.262974%
2020-04-08 00:22:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03474, 	20.67989991, 	1.0277, 	300.0, 	0.685025%, 	0.460000%, 	0.225025%
2020-04-08 00:22:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03478, 	20.67989991, 	1.0277, 	300.0, 	0.688917%, 	0.460000%, 	0.228917%
2020-04-08 00:23:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03448, 	20.67989991, 	1.0277, 	300.0, 	0.659726%, 	0.460000%, 	0.199726%
2020-04-08 00:23:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0344, 	20.67989991, 	1.0277, 	300.0, 	0.651941%, 	0.460000%, 	0.191941%
2020-04-08 00:24:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03412, 	20.67989991, 	1.0277, 	300.0, 	0.624696%, 	0.460000%, 	0.164696%
