2020-04-09 20:26:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	6.18086, 	155.411, 	1.13655, 	0.803675%, 	0.350000%, 	0.453675%
2020-04-09 20:26:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.349, 	1.137, 	0.843906%, 	0.350000%, 	0.493906%
2020-04-09 20:26:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.34, 	4.528, 	0.849749%, 	0.350000%, 	0.499749%
2020-04-09 20:26:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.349, 	1.137, 	0.843906%, 	0.350000%, 	0.493906%
2020-04-09 20:27:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.34, 	4.694, 	0.849749%, 	0.350000%, 	0.499749%
2020-04-09 20:27:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:27:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.27, 	4.372, 	0.895215%, 	0.350000%, 	0.545215%
2020-04-09 20:27:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:28:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:28:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:28:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:28:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:29:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:29:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
