2020-04-11 18:11:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	3285.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:11:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	3285.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:12:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	4518.221, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:12:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	4518.221, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:12:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:12:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:13:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:13:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:13:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:13:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:14:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:14:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:14:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
