2020-04-11 10:53:36, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:53:51, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:54:06, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:54:21, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:54:36, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:54:51, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:55:06, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:55:21, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:55:36, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:55:51, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:56:06, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:56:21, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:56:36, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:56:51, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:57:06, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:57:21, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
2020-04-11 10:57:36, 	Bitfinex    , 	Bittrex     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	190157.20372966, 	2.127660%, 	0.450000%, 	1.677660%
