2020-04-09 05:08:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:09:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:09:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:09:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:09:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:10:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:10:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:10:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:10:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:11:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:11:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:11:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:11:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:12:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:12:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:12:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	826892.8584461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:12:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	823031.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:13:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	808571.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:13:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	808571.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:13:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	789191.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:13:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	789191.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:14:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	789191.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:14:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	789191.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:14:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	789191.5986461, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:14:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:15:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:15:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:15:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:15:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:16:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:16:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:16:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:16:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:17:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:17:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:17:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:17:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:18:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:18:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:18:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:18:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:19:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:19:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:19:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	846014.954, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:19:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:20:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	826693.04, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:20:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:20:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:20:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
