2020-04-07 21:56:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	1.7902, 	6539.48, 	0.5303156, 	0.619621%, 	0.600000%, 	0.019621%
2020-04-07 21:57:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.0505, 	6539.55, 	0.34306502, 	0.618544%, 	0.600000%, 	0.018544%
2020-04-07 21:57:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.05506335, 	6539.53, 	0.33948296, 	0.618852%, 	0.600000%, 	0.018852%
2020-04-07 21:58:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.09094561, 	6538.34, 	0.06, 	0.637165%, 	0.600000%, 	0.037165%
2020-04-07 21:58:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.07804823, 	6538.33, 	3.4, 	0.637319%, 	0.600000%, 	0.037319%
2020-04-07 21:59:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	3.999, 	6538.19, 	0.34051694, 	0.639474%, 	0.600000%, 	0.039474%
2020-04-07 21:59:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	4.179, 	6537.98, 	3.5073, 	0.642706%, 	0.600000%, 	0.042706%
2020-04-07 22:00:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	1.4625, 	6532.0, 	0.09387631, 	0.734844%, 	0.600000%, 	0.134844%
2020-04-07 22:00:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.11654928, 	6531.44, 	1.74, 	0.743481%, 	0.600000%, 	0.143481%
2020-04-07 22:01:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.09006568, 	6511.9, 	0.16, 	1.045778%, 	0.600000%, 	0.445778%
2020-04-07 22:01:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	3.95582439, 	6516.64, 	0.20210159, 	0.972280%, 	0.600000%, 	0.372280%
2020-04-07 22:02:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	3.854, 	6520.0, 	1.0, 	0.920245%, 	0.600000%, 	0.320245%
2020-04-07 22:02:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	1.571, 	6529.9, 	0.001, 	0.843811%, 	0.600000%, 	0.243811%
2020-04-07 22:03:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	1.27592673, 	6528.0, 	0.18420687, 	0.873162%, 	0.600000%, 	0.273162%
2020-04-07 22:03:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	1.4009, 	6530.0, 	2.60406196, 	0.842266%, 	0.600000%, 	0.242266%
2020-04-07 22:04:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	0.22504559, 	6530.0, 	0.00549878, 	0.842266%, 	0.600000%, 	0.242266%
2020-04-07 22:04:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	1.3882, 	6539.75, 	0.00813863, 	0.691922%, 	0.600000%, 	0.091922%
2020-04-07 22:05:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	0.01529, 	6520.4, 	1.65654458, 	0.990737%, 	0.600000%, 	0.390737%
2020-04-07 22:05:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	0.25627729, 	6519.97, 	0.49683254, 	0.997397%, 	0.600000%, 	0.397397%
2020-04-07 22:06:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6585.0, 	0.25600447, 	6516.08, 	0.10530248, 	1.057691%, 	0.600000%, 	0.457691%
2020-04-07 22:06:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	0.09, 	6520.0, 	0.00446646, 	0.920245%, 	0.600000%, 	0.320245%
2020-04-07 22:07:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	4.30502085, 	6523.8, 	0.1776454, 	0.861461%, 	0.600000%, 	0.261461%
2020-04-07 22:07:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	1.32277799, 	6522.05, 	3.70461372, 	0.888524%, 	0.600000%, 	0.288524%
