2020-04-11 11:10:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:10:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:10:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:10:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:11:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:11:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:11:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:11:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:12:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:12:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:12:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:12:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
