2020-04-07 23:54:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:54:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:55:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:55:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:56:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:56:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:57:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:57:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:58:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:58:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	460194.3, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:59:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:59:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:00:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:00:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:01:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:01:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:02:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:02:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:03:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:03:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:04:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:04:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:05:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:05:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:06:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:06:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:07:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:07:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:08:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:08:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:09:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:09:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:10:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:10:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:11:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:11:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:12:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:12:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:13:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:13:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:14:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:14:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:15:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:15:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-08 00:16:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	27582.2, 	0.00481, 	6391.3, 	97.505198%, 	0.250000%, 	97.255198%
2020-04-08 00:16:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	14058.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:17:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	14497.9, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:17:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	14497.9, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:18:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	14497.9, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:18:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:19:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:19:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:20:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:20:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:21:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:21:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:22:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:22:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:23:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:23:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:24:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 00:24:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	13970.5, 	0.00483, 	6391.3, 	96.687371%, 	0.250000%, 	96.437371%
2020-04-08 07:22:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:22:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:23:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:23:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:24:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:24:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:25:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:25:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:26:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:26:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:27:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:27:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:28:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:28:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:29:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:29:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:30:27, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:30:57, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:31:28, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:31:58, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:32:28, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	19712.5, 	0.00494, 	20000.0, 	96.356275%, 	0.250000%, 	96.106275%
2020-04-08 07:32:58, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0098, 	19712.5, 	0.00494, 	20000.0, 	98.380567%, 	0.250000%, 	98.130567%
2020-04-08 07:33:28, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0098, 	19712.5, 	0.00494, 	20000.0, 	98.380567%, 	0.250000%, 	98.130567%
2020-04-08 07:33:58, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0098, 	19712.5, 	0.00494, 	20000.0, 	98.380567%, 	0.250000%, 	98.130567%
2020-04-08 07:34:28, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0098, 	19712.5, 	0.00494, 	20000.0, 	98.380567%, 	0.250000%, 	98.130567%
