2020-04-07 21:10:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.14906892, 	0.01782576, 	54.2, 	8.6, 	3.596068%, 	0.240000%, 	3.356068%
2020-04-07 21:11:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.81668261, 	22.86707775, 	54.17, 	8.6, 	3.039842%, 	0.240000%, 	2.799842%
2020-04-07 21:11:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.87702521, 	3.3, 	54.17, 	26.20981271, 	3.151237%, 	0.240000%, 	2.911237%
2020-04-07 21:12:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.94073923, 	0.42779575, 	54.13, 	8.6, 	3.345168%, 	0.240000%, 	3.105168%
2020-04-07 21:12:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.72206648, 	3.3, 	54.11, 	28.92960655, 	2.979239%, 	0.240000%, 	2.739239%
2020-04-07 21:13:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.74645463, 	3.3, 	54.06, 	9.659934, 	3.119598%, 	0.240000%, 	2.879598%
2020-04-07 21:13:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.5583387, 	3.3, 	53.96, 	9.689445, 	2.962081%, 	0.240000%, 	2.722081%
2020-04-07 21:14:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.60503428, 	3.3, 	53.92, 	9.699282, 	3.125064%, 	0.240000%, 	2.885064%
2020-04-07 21:14:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.66025971, 	3.3, 	53.91, 	9.748467, 	3.246633%, 	0.240000%, 	3.006633%
2020-04-07 21:15:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.40401321, 	5.5, 	53.91, 	8.7, 	2.771310%, 	0.240000%, 	2.531310%
2020-04-07 21:15:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.44507433, 	2.8, 	53.88, 	10.0, 	2.904741%, 	0.240000%, 	2.664741%
2020-04-07 21:16:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.264919, 	2.8, 	53.9, 	10.0, 	2.532317%, 	0.240000%, 	2.292317%
2020-04-07 21:16:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.25037177, 	0.08, 	53.87, 	10.0, 	2.562413%, 	0.240000%, 	2.322413%
2020-04-07 21:17:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.2233694, 	0.0270275, 	53.87, 	10.0, 	2.512288%, 	0.240000%, 	2.272288%
2020-04-07 21:17:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.67115679, 	2.8, 	53.72, 	7.0, 	1.770582%, 	0.240000%, 	1.530582%
2020-04-07 21:41:48, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.53893884, 	5.7, 	53.95, 	7.5, 	2.945206%, 	0.240000%, 	2.705206%
2020-04-07 21:42:18, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.57714765, 	9.827163, 	53.94, 	7.5, 	3.035127%, 	0.240000%, 	2.795127%
2020-04-07 21:42:48, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.47311626, 	5.7, 	53.93, 	7.0, 	2.861332%, 	0.240000%, 	2.621332%
