2020-04-10 05:24:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	15620.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:24:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	17706.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:24:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	12802.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:25:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	12802.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:25:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:25:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:25:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:26:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:26:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:26:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:26:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:27:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:27:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	9947.0, 	1.403509%, 	0.250000%, 	1.153509%
2020-04-10 05:27:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.85e-06, 	467.131, 	2.85e-06, 	9947.0, 	0.000000%, 	0.250000%, 	-0.250000%
