2020-04-11 12:40:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:40:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:40:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:41:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:41:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:41:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:41:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:42:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:42:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:42:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:42:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:43:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:43:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:43:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:43:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:44:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:44:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:44:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:44:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:45:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:45:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:45:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:45:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:46:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:46:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:46:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:46:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:47:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:47:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:47:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:47:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:48:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:48:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:48:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:48:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:49:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:49:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:49:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:49:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:50:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	903.469, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:50:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:50:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:50:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:51:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:51:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:51:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:51:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:52:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:52:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:52:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:52:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	915.947, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:53:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:53:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:53:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:53:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:54:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:54:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:54:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:54:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:55:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:55:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:55:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:55:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:56:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:56:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:56:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:56:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:57:11, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	922.875, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:57:26, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:57:41, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:57:56, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:58:11, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:58:26, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:58:41, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:58:56, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:59:11, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:59:26, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:59:41, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:59:56, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	937.972, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 13:00:11, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1460.6854, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 13:00:26, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	959.63, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 13:00:41, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9984, 	106.4, 	0.276418%, 	0.240000%, 	0.036418%
2020-04-11 13:00:56, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	959.63, 	0.256335%, 	0.240000%, 	0.016335%
