2020-04-11 17:44:48, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	418.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:45:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	395.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:45:18, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	395.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:45:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1046.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:45:48, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1046.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:46:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	651.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:46:18, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.357e-05, 	394.0, 	1.349e-05, 	1.11965571, 	0.593032%, 	0.190000%, 	0.403032%
2020-04-11 17:46:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.357e-05, 	102.0, 	1.349e-05, 	1.11965571, 	0.593032%, 	0.190000%, 	0.403032%
2020-04-11 17:46:48, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.357e-05, 	102.0, 	1.349e-05, 	1.11965571, 	0.593032%, 	0.190000%, 	0.403032%
2020-04-11 17:47:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.357e-05, 	102.0, 	1.349e-05, 	1.11965571, 	0.593032%, 	0.190000%, 	0.403032%
2020-04-11 17:47:18, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.351e-05, 	50.0, 	1.349e-05, 	1.11965571, 	0.148258%, 	0.190000%, 	-0.041742%
