2020-04-09 14:48:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	1999.975, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:48:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.5646, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:48:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:49:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	1999.975, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:49:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	1999.975, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:49:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	1999.975, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:49:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	1999.975, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:50:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	1999.975, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:50:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:50:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:50:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:51:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.464, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:51:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.464, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:51:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.464, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:51:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:52:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.5646, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:52:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:52:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:52:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:53:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.7659, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:53:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.5646, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:53:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:53:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
