2020-04-08 12:51:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.2, 	10.32251445, 	5885.2, 	1.51, 	0.628696%, 	0.460000%, 	0.168696%
2020-04-08 12:51:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.2, 	10.48035783, 	5884.5, 	1.05248397, 	0.640666%, 	0.460000%, 	0.180666%
2020-04-08 12:52:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.2, 	12.32381257, 	5884.5, 	0.05148397, 	0.640666%, 	0.460000%, 	0.180666%
2020-04-08 12:52:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.4, 	11.49624544, 	5884.5, 	0.07253525, 	0.542102%, 	0.460000%, 	0.082102%
2020-04-08 12:52:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.7, 	10.84811357, 	5884.5, 	0.06753525, 	0.547200%, 	0.460000%, 	0.087200%
2020-04-08 12:52:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.7, 	9.49756568, 	5884.2, 	0.99, 	0.552327%, 	0.460000%, 	0.092327%
2020-04-08 12:53:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5916.7, 	9.72506755, 	5884.2, 	0.06992953, 	0.552327%, 	0.460000%, 	0.092327%
2020-04-08 12:53:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.1, 	10.34531531, 	5884.2, 	0.09123888, 	0.559124%, 	0.460000%, 	0.099124%
2020-04-08 12:53:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.1, 	9.67506547, 	5884.2, 	0.08623888, 	0.559124%, 	0.460000%, 	0.099124%
2020-04-08 12:53:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.6, 	1.21326115, 	5885.4, 	0.91913689, 	0.547117%, 	0.460000%, 	0.087117%
2020-04-08 12:54:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	8.05180694, 	5885.4, 	0.04630043, 	0.548816%, 	0.460000%, 	0.088816%
2020-04-08 12:54:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	8.07930515, 	5885.4, 	0.07170192, 	0.548816%, 	0.460000%, 	0.088816%
2020-04-08 12:54:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	8.06826147, 	5885.4, 	0.04471422, 	0.548816%, 	0.460000%, 	0.088816%
2020-04-08 12:54:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	8.85366147, 	5885.4, 	0.04721422, 	0.548816%, 	0.460000%, 	0.088816%
2020-04-08 12:55:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5917.7, 	0.05, 	5885.4, 	0.0025, 	0.548816%, 	0.460000%, 	0.088816%
2020-04-08 12:55:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5918.5, 	8.57366147, 	5885.4, 	0.09158639, 	0.562409%, 	0.460000%, 	0.102409%
2020-04-08 12:55:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.1, 	0.01, 	5885.4, 	0.08196139, 	0.572603%, 	0.460000%, 	0.112603%
2020-04-08 12:55:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.4, 	8.06826147, 	5885.4, 	0.08196139, 	0.577701%, 	0.460000%, 	0.117701%
2020-04-08 12:56:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.4, 	7.86826147, 	5885.4, 	0.58112033, 	0.577701%, 	0.460000%, 	0.117701%
2020-04-08 12:56:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.4, 	7.56826147, 	5885.4, 	0.13390379, 	0.577701%, 	0.460000%, 	0.117701%
2020-04-08 12:56:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.6, 	12.39431113, 	5884.6, 	0.79623511, 	0.594773%, 	0.460000%, 	0.134773%
2020-04-08 12:56:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.7, 	13.29311768, 	5884.6, 	0.05610016, 	0.596472%, 	0.460000%, 	0.136472%
2020-04-08 12:57:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5920.4, 	12.69252965, 	5884.6, 	0.05860016, 	0.608368%, 	0.460000%, 	0.148368%
2020-04-08 12:57:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5921.9, 	3.23857101, 	5893.3, 	0.09865, 	0.485297%, 	0.460000%, 	0.025297%
2020-04-08 12:57:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.8, 	0.66100284, 	5892.6, 	0.04692001, 	0.529478%, 	0.460000%, 	0.069478%
2020-04-08 12:57:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5924.9, 	0.4854, 	5891.0, 	9.00119345, 	0.575454%, 	0.460000%, 	0.115454%
2020-04-08 12:58:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5925.6, 	12.54048821, 	5892.2, 	0.55276379, 	0.566851%, 	0.460000%, 	0.106851%
