2020-04-11 18:08:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	3.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 18:08:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	6.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
2020-04-11 18:08:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	420.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:09:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:09:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	5963.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:09:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:09:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	421.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:10:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	421.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:10:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	5896.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:10:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	5896.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:10:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	7288.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 18:11:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	10488.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 18:11:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	10488.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 18:11:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	388.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
2020-04-11 18:11:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	14.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:12:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	14.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:12:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	14.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:12:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:12:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
