2020-04-10 03:54:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:55:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:55:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	52813.26, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:55:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	52813.26, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:55:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	250621.2, 	0.00384, 	49891.16, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:56:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	250621.2, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:56:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	250621.2, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:56:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	250621.2, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:56:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	250621.2, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:57:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	238165.7, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:57:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	138966.3, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:57:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	151437.8, 	0.00384, 	49892.17, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:57:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	247713.3, 	0.00384, 	60649.412, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:58:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	247713.3, 	0.00384, 	16881.948, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:58:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:58:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:58:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:59:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:59:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:59:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:59:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:00:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:00:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:00:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244791.2, 	0.00384, 	52032.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:00:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244759.3, 	0.00384, 	52032.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:01:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	244759.3, 	0.00384, 	52032.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:01:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	133122.1, 	0.00384, 	52032.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:01:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	207423.7, 	0.00384, 	52032.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:01:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	204502.1, 	0.00384, 	49110.92, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:02:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	204511.1, 	0.00384, 	49110.92, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:02:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	204511.1, 	0.00384, 	49110.92, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:02:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	201589.0, 	0.00384, 	46188.82, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:02:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	201589.0, 	0.00384, 	46188.82, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:03:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	139727.7, 	0.00384, 	46188.82, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:03:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	201592.2, 	0.00384, 	48669.922, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:03:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	201592.2, 	0.00384, 	48670.112, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 04:03:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	198670.1, 	0.00384, 	45748.012, 	0.260417%, 	0.250000%, 	0.010417%
