2020-04-10 18:24:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:24:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:24:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:24:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:25:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:25:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:25:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:25:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:26:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:26:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:26:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:26:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:27:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:27:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:27:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:27:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:28:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:28:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:28:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:28:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:29:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:29:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:29:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:29:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
