2020-04-11 11:20:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:20:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.264e-05, 	111.0, 	0.265018%, 	0.190000%, 	0.075018%
2020-04-11 11:20:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.264e-05, 	111.0, 	0.265018%, 	0.190000%, 	0.075018%
2020-04-11 11:21:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.264e-05, 	111.0, 	0.265018%, 	0.190000%, 	0.075018%
2020-04-11 11:21:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.264e-05, 	111.0, 	0.265018%, 	0.190000%, 	0.075018%
2020-04-11 11:21:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:21:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:22:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:22:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:22:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
