2020-04-11 16:37:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:37:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:38:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:38:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:38:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:38:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:39:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:39:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:39:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:39:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:40:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:40:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:40:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:40:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:41:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:41:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:41:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:41:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:42:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:42:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:42:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:42:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:43:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:43:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:43:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	0.00620125, 	8.14e-05, 	84.47, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:43:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.116e-05, 	961.12085536, 	8.14e-05, 	85.88, 	-0.294840%, 	0.190000%, 	-0.484840%
