2020-04-08 18:46:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079297, 	64.07447238, 	0.886540%, 	0.460000%, 	0.426540%
2020-04-08 18:46:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079298, 	411.77180053, 	0.885268%, 	0.460000%, 	0.425268%
2020-04-08 18:46:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079298, 	59.90101432, 	0.885268%, 	0.460000%, 	0.425268%
2020-04-08 18:47:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079297, 	53.27525937, 	0.886540%, 	0.460000%, 	0.426540%
2020-04-08 18:47:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079299, 	29.94920551, 	0.883996%, 	0.460000%, 	0.423996%
2020-04-08 18:47:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.0007934, 	507.663717, 	0.831863%, 	0.460000%, 	0.371863%
2020-04-08 18:47:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.0007935, 	676.72029478, 	0.819156%, 	0.460000%, 	0.359156%
2020-04-08 18:48:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079336, 	57.05413563, 	0.836947%, 	0.460000%, 	0.376947%
2020-04-08 18:48:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079318, 	48.39800073, 	0.985905%, 	0.460000%, 	0.525905%
2020-04-08 18:48:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079263, 	80.0, 	1.055978%, 	0.460000%, 	0.595978%
2020-04-08 18:48:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079209, 	39.13072347, 	1.124872%, 	0.460000%, 	0.664872%
2020-04-08 18:49:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079188, 	310.762334, 	1.151690%, 	0.460000%, 	0.691690%
2020-04-08 18:49:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079149, 	661.95114257, 	1.075187%, 	0.460000%, 	0.615187%
2020-04-08 18:49:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079087, 	80.0, 	1.154425%, 	0.460000%, 	0.694425%
